id	member_id	loan_amnt	funded_amnt	funded_amnt_inv	term	int_rate	installment	grade	sub_grade	emp_title	emp_length	home_ownership	annual_inc	verification_status	issue_d	pymnt_plan	desc	purpose	title	zip_code	addr_state	dti	delinq_2yrs	earliest_cr_line	inq_last_6mths	mths_since_last_delinq	mths_since_last_record	open_acc	pub_rec	revol_bal	revol_util	total_acc	initial_list_status	out_prncp	out_prncp_inv	total_pymnt	total_pymnt_inv	total_rec_prncp	total_rec_int	total_rec_late_fee	recoveries	collection_recovery_fee	last_pymnt_d	last_pymnt_amnt	next_pymnt_d	last_credit_pull_d	collections_12_mths_ex_med	mths_since_last_major_derog	policy_code	application_type	default_ind
1069866	1304956	3000	3000	3000	 36 months	9.91	96.68	B	B1	Target	3 years	RENT	15000	Source Verified	Dec-11	n	"  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>"	credit_card	citicard fund	606xx	IL	12.56	0	Jul-03	2			11	0	7323	43.1	11	f	0	0	3478.981915	3478.98	3000	478.98	0	0	0	Jan-15	102.43		Jan-16	0		1	INDIVIDUAL	0
1069057	1303503	10000	10000	10000	 36 months	10.65	325.74	B	B2	SFMTA	3 years	RENT	100000	Source Verified	Dec-11	n		other	Other Loan	951xx	CA	7.06	0	May-91	2			14	0	11997	55.5	29	f	0	0	7471.99	7471.99	5433.47	1393.42	0	645.1	6.3145	Oct-13	325.74		Mar-14	0		1	INDIVIDUAL	1
1069759	1304871	1000	1000	1000	 36 months	16.29	35.31	D	D1	Internal revenue Service	< 1 year	RENT	28000	Not Verified	Dec-11	n		debt_consolidation	Debt Consolidation Loan	641xx	MO	20.31	0	Sep-07	1			11	0	6524	81.5	23	f	0	0	1270.171106	1270.17	1000	270.17	0	0	0	Jan-15	36.32		Jan-16	0		1	INDIVIDUAL	0
1065775	1299699	10000	10000	10000	 36 months	15.27	347.98	C	C4	Chin's Restaurant	4 years	RENT	42000	Not Verified	Dec-11	n		home_improvement	Home	921xx	CA	18.6	0	Oct-98	2	61		14	0	24043	70.2	28	f	0	0	12519.26045	12519.26	10000	2519.26	0	0	0	Jan-15	370.46		Apr-15	0		1	INDIVIDUAL	0
1069971	1304884	3600	3600	3600	 36 months	6.03	109.57	A	A1	Duracell	10+ years	MORTGAGE	110000	Not Verified	Dec-11	n	  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>	major_purchase	Holiday	067xx	CT	10.52	0	Aug-93	0			20	0	22836	16	42	f	0	0	3785.02	3785.02	3600	185.02	0	0	0	May-13	583.45		May-14	0		1	INDIVIDUAL	0
1062474	1294539	6000	6000	6000	 36 months	11.71	198.46	B	B3	Connection Inspection	1 year	MORTGAGE	84000	Verified	Dec-11	n	  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>	medical	Medical	890xx	UT	18.44	2	Oct-03	0	8		4	0	0	37.73	14	f	0	0	7164.499852	7164.5	6000	1149.5	15	0	0	Feb-15	16.98		Jul-15	0		1	INDIVIDUAL	0
1069742	1304855	9200	9200	9200	 36 months	6.03	280.01	A	A1	Network Interpreting Service	6 years	RENT	77385.19	Not Verified	Dec-11	n		debt_consolidation	lowerratemeanseasiertogetoutofdebt!	921xx	CA	9.86	0	Jan-01	0			8	0	7314	23.1	28	f	0	0	9459.96	9459.96	9200	259.96	0	0	0	Jul-12	8061.1		Jul-12	0		1	INDIVIDUAL	0
1069740	1284848	20250	20250	19142.16108	 60 months	15.27	484.63	C	C4	Archdiocese of Galveston Houston	3 years	RENT	43370	Verified	Dec-11	n	"After amassing credit card debt through several years of college, I now have spending under control and a stable job. With this loan I plan to pay off all the credit cards and close them down immediately. I have a good balance between living expenses and debt repayment.<br> Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.  Please let me know if you have any other questions.<br> Borrower added on 12/15/11 > Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.<br><br>Please let me know if you have any other questions.<br><br> Borrower added on 12/16/11 > After amassing credit card debt from years in college I have put spending under control. With my stable job, I hope to use this loan to pay off all the credit cards and close them down immediately. My monthly income is balanced between living expenses and loan repayment.  Thank you!<br><br> Borrower added on 12/16/11 > After amassing credit card debt through several years of college, I now have spending under control and a stable job.  With this loan I plan to pay off all the credit cards and close them down immediately.  I have a good balance between living expenses and debt repayment.<br>"	debt_consolidation	Freedom From Credit Cards	770xx	TX	26.53	0	Nov-97	3			8	0	17813	85.6	22	f	0	0	27663.04267	25417.68	20250	7413.04	0	0	0	Aug-15	6024.09		Dec-15	0		1	INDIVIDUAL	0
1039153	1269083	21000	21000	21000	 36 months	12.42	701.73	B	B4	Osram Sylvania	10+ years	RENT	105000	Verified	Dec-11	n	  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>	debt_consolidation	Debt Cleanup	335xx	FL	13.22	0	Feb-83	0			7	0	32135	90.3	38	f	0	0	14025.4	14025.4	10694.96	3330.44	0	0	0	Sep-13	701.73		Jan-16	0		1	INDIVIDUAL	1
1069710	1304821	10000	10000	10000	 36 months	11.71	330.76	B	B3	Value Air	10+ years	OWN	50000	Source Verified	Dec-11	n	"  Borrower added on 12/17/11 > Have a stable job, will be absolutely no problem making monthly payments.  Loan will be used to close high interest credit card accounts on which I've never had a late payment.<br>"	credit_card	Credit Card Loan	799xx	TX	11.18	0	Jul-85	0			8	0	10056	82.4	21	f	0	0	11902.56157	11902.56	10000	1902.56	0	0	0	Jan-15	349.21		Jan-16	0		1	INDIVIDUAL	0
1069700	1304810	10000	10000	10000	 36 months	11.71	330.76	B	B3	Wells Fargo Bank	5 years	RENT	50000	Not Verified	Dec-11	n		debt_consolidation	Debt Consolidation	917xx	CA	16.01	0	Apr-03	0			6	0	17800	91.8	17	f	0	0	11536.31	11536.31	10000	1536.31	0	0	0	Oct-13	4942.63		Mar-14	0		1	INDIVIDUAL	0
1069559	1304634	6000	6000	6000	 36 months	11.71	198.46	B	B3	bmg-educational	1 year	RENT	76000	Not Verified	Dec-11	n		major_purchase	cash	900xx	CA	2.4	0	Jun-01	1			7	0	5963	29.7	7	f	0	0	2050.14	2050.14	1305.58	475.25	0	269.31	2.57	Oct-12	198.46		Mar-13	0		1	INDIVIDUAL	1
1069697	1273773	15000	15000	15000	 36 months	9.91	483.38	B	B1	Winfield Pathology Consultants	2 years	MORTGAGE	92000	Verified	Dec-11	n		credit_card	No more credit card debt!	605xx	IL	29.44	0	Feb-02	0			8	0	13707	93.9	31	f	0	0	15823.48	15823.48	15000	823.48	0	0	0	Sep-12	2447.05		Sep-12	0		1	INDIVIDUAL	0
1069800	1304679	15000	15000	8725	 36 months	14.27	514.64	C	C2	nyc transit	9 years	RENT	60000	Not Verified	Dec-11	n	  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>	debt_consolidation	consolidation	103xx	NY	15.22	0	Oct-03	1			7	0	5872	57.6	11	f	0	0	0	0	0	0	0	0	0		0		Jan-16	0		1	INDIVIDUAL	1
1069657	1304764	5000	5000	5000	 60 months	16.77	123.65	D	D2	Frito Lay	2 years	RENT	50004	Not Verified	Dec-11	n	  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>	other	Other	150xx	PA	13.97	3	Oct-03	0	20		14	0	4345	59.5	22	f	0	0	1609.12	1609.12	629.05	719.11	0	260.96	2.3	Dec-12	123.65		May-13	0		1	INDIVIDUAL	1
1069799	1304678	4000	4000	4000	 36 months	11.71	132.31	B	B3	Shands Hospital at the University of Fl	10+ years	MORTGAGE	106000	Not Verified	Dec-11	n		debt_consolidation	Debt Consolidation	326xx	FL	5.63	1	Aug-84	0	18		12	0	6110	37.7	44	f	0	0	4484.79	4484.79	4000	484.79	0	0	0	Apr-13	2638.77		Jan-16	0		1	INDIVIDUAL	0
1047704	1278806	8500	8500	8500	 36 months	11.71	281.15	B	B3	Oakridge homes	< 1 year	RENT	25000	Source Verified	Dec-11	n	  Borrower added on 12/15/11 > My loan is for paying off my credit cards and being able to get a place to live since I live with my uncle at the moment and he needs me to leave. <br><br>  Borrower added on 12/17/11 > Im responsible and i pay my bills on time if not early. i have a great payment history. having this loan would really help me out. thank you<br>	credit_card	Credit card repayment loan	564xx	MN	12.19	0	Nov-06	0			8	0	6441	59.1	12	f	0	0	10122.20861	10122.21	8500	1622.21	0	0	0	Dec-14	581.59		Jan-15	0		1	INDIVIDUAL	0
1032111	1261745	4375	4375	4375	 36 months	7.51	136.11	A	A3		7 years	MORTGAGE	17108	Source Verified	Dec-11	n	  Borrower added on 12/17/11 > This loan is a great opportunity and will help me gain better control over my finances. The convenience of one payment and one rate will help me save money and create better opportunities for myself for future planning. My career and income are secure and I believe in financial responsibility.<br>	debt_consolidation	Debt Consolidation	141xx	NY	20.34	0	Dec-87	0			6	0	11210	86.9	12	f	0	0	4898.543558	4898.54	4375	523.54	0	0	0	Jan-15	144.94		Dec-14	0		1	INDIVIDUAL	0
1069539	1304608	31825	31825	31825	 36 months	7.9	995.82	A	A4	Audubon Mutual Housing Corporation	5 years	MORTGAGE	75000	Verified	Dec-11	n	"  Borrower added on 12/15/11 > Hello<br>I plan to use my funds to pay off my credit cards 100%.  <br>I pay more in minimum payments now than my loan payment will be and you can see by my credit report that I always repay my debts.<br>I have a very secure job in property management.  I have been with the company for close to 6 years.<br><br> Borrower added on 12/16/11 > In addition to the other info provided I would like to add that a majority of our credit card debt was from overruns when we added an addition to our home.  Unfortunately to finish the job we needed to use credit cards as our home equity line was cut during after the real estate bubble burst.<br><br>  Borrower added on 12/17/11 > One more note regarding my credit card payments.  Currently I have close to $2000.00 dollars a month budgeted.  The less than $1,000.00 loan payment monthly will allow me to save a generous portion of my monthly budget, something I am looking forward to greatly.<br>"	debt_consolidation	Debt Consolidation Loan	080xx	NJ	14.03	0	Nov-81	0			12	0	23151	27.4	26	f	0	0	34886.08	34886.08	31825	3061.08	0	0	0	Aug-13	16966.7		Oct-15	0		1	INDIVIDUAL	0
1065420	1299514	10000	10000	9975	 60 months	15.96	242.97	C	C5	US Legal Support	2 years	RENT	29120	Verified	Dec-11	n		debt_consolidation	Brown Eyes Loan	330xx	FL	22.83	0	Feb-97	1	68		11	0	16158	63.6	31	f	2695.31	2688.53	11622.36	11593.4	7304.67	4317.69	0	0	0	Jan-16	242.97	Jan-16	Jan-16	0		1	INDIVIDUAL	0
1069591	1304289	5000	5000	5000	 36 months	8.9	158.77	A	A5	Good Samaritan Society	2 years	RENT	24044	Verified	Dec-11	n	  Borrower added on 12/16/11 > The purpose of this loan is to pay off a couple of high interest credicards and holidays expenses so I can start the new year having only one creditor. Thank you for making this possible.Merry Christmas e a Prosperous New Year to all. Thank you<br>	debt_consolidation	Consolidation	974xx	OR	11.93	0	Apr-05	0	45		8	0	2224	29.3	16	f	0	0	5714.592129	5714.59	5000	714.59	0	0	0	Jan-15	163.64		Jan-16	0		1	INDIVIDUAL	0
1069530	1291365	7000	7000	7000	 36 months	15.96	245.97	C	C5	GREG BARRETT DRYWALL	7 years	RENT	34000	Source Verified	Dec-11	n		credit_card	Credit Card Loan	934xx	CA	6.35	0	Oct-07	1			6	0	6113	60.5	6	f	0	0	8848.94043	8848.94	7000	1848.94	0	0	0	Jan-15	260.74		Dec-14	0		1	INDIVIDUAL	0
1069522	1304589	12400	12400	12400	 36 months	10.65	403.91	B	B2	Sharp Lawn Inc.	10+ years	RENT	41000	Not Verified	Dec-11	n	  Borrower added on 12/16/11 > I plan to use the funding from this loan to pay off my credit cards in order to obtain lower interest rates and to have only one payment per month. I will be saving around $80 per month on interest including loan fees. I plan on using extra money to start an IRA. Worked at same business for 10 years<br>	credit_card	December 2011 Credit Card Loan	405xx	KY	11.8	0	Jul-05	2			9	0	11095	57.2	12	f	0	0	14537.45953	14537.46	12400	2137.46	0	0	0	Jan-15	417.61		Dec-14	0		1	INDIVIDUAL	0
1069361	1304255	10800	10800	10800	 36 months	9.91	348.03	B	B1	Department of Justice	2 years	RENT	55596	Source Verified	Dec-11	n	"  Borrower added on 12/19/11 > I have a very stable job &amp; am moving to get a better position. Thanks for your help!<br><br>  Borrower added on 12/22/11 > Almost there, am ready to take care of business, Merry Christmas! ^_^<br>"	moving	Moving to better job; help a veteran!	946xx	CA	5.5	0	Dec-00	0			7	0	2535	13.3	18	f	0	0	12157.2	12157.2	10800	1357.2	0	0	0	Nov-13	3483.79		Jan-16	0		1	INDIVIDUAL	0
1069357	1304251	15000	15000	15000	 36 months	7.9	469.36	A	A4	Gateway Hospice	1 year	RENT	45000	Verified	Dec-11	n	  Borrower added on 12/15/11 > I am looking to pay off all my credit cards and have one lump sum to pay each month.  I graduated with my masters 2 years ago.  It took me a year to find a good job and I have been with them for a year now.  The next thing for me to fix in my life is my credit situation.  If I can pay one lump sum I will be saving money each month.  I would really appreciate the consideration of being approved.<br>	debt_consolidation	Debt Consolidation Loan	445xx	OH	8.48	0	Nov-04	0			7	0	6704	50.4	27	f	0	0	16662.6	16662.6	15000	1662.6	0	0	0	Jan-14	5872.8		Jan-16	0		1	INDIVIDUAL	0
1069356	1304250	6000	6000	6000	 36 months	12.42	200.5	B	B4	Cox Communications	1 year	RENT	36852	Source Verified	Dec-11	n	"  Borrower added on 12/15/11 > This loan will be used to clear out my current credit cards to $0 balances and close them.  I have really high interest rates on them and chasing multiple minimum payments around is not working out so well.<br><br> Borrower added on 12/15/11 > I currently pay about $480 per month in minimums and have the lower interest rate is going to lower the payments so much, that i will actualy be paying this loan off in about half the time as ihave already learned to live with the 480 per month. <br><br>  Borrower added on 12/16/11 > For te consolidation of credit cards and to clear all revolving debt.<br>"	debt_consolidation	Credit Card Consolidation	850xx	AZ	10.62	0	Apr-07	1			7	0	7310	66.5	12	f	0	0	7125.283165	7125.28	6000	1125.28	0	0	0	Apr-14	1923.53		Jan-16	0		1	INDIVIDUAL	0
1069346	1304237	12500	12500	12475	 60 months	12.69	282.44	B	B5	United States Infrastructure Corporation	1 year	RENT	27000	Verified	Dec-11	n	  Borrower added on 12/20/11 > The purpose of this loan is to pay off my credit card debt. The remaining will go towards my student loan.<br>	debt_consolidation	Credit card debt	604xx	IL	16.04	0	Dec-01	3			6	0	10143	50	24	f	3193.13	3186.72	13506.54	13479.58	9306.87	4199.67	0	0	0	Jan-16	282.44	Jan-16	Jan-16	0		1	INDIVIDUAL	0
1067573	1301955	9600	9600	9600	 36 months	7.51	298.67	A	A3	Nucor Building Systems	4 years	RENT	68004	Source Verified	Dec-11	n	  Borrower added on 12/15/11 > Funds will be used for an upcoming wedding.<br>I have a very stable job and will have no problems paying back the funds.<br>	other	Other Loan	292xx	SC	6.63	0	Jan-03	0			6	0	2896	18.1	11	f	0	0	10749.76265	10749.76	9600	1149.76	0	0	0	Jan-15	311.56		Dec-14	0		1	INDIVIDUAL	0
1069506	1304567	12000	12000	12000	 36 months	7.9	375.49	A	A4	John Wiley Jr.	10+ years	RENT	62300	Not Verified	Dec-11	n	  Borrower added on 12/15/11 > To be used to payoff high interest loans.<br>	debt_consolidation	Debt Consolidation	088xx	NJ	16.7	0	Mar-94	0	38		15	0	8601	21	25	f	0	0	13516.38296	13516.38	12000	1516.38	0	0	0	Jan-15	380.98		Sep-15	0		1	INDIVIDUAL	0
1069314	1304202	3000	3000	3000	 36 months	18.25	108.84	D	D5		9 years	MORTGAGE	65000	Not Verified	Dec-11	n	"  Borrower added on 12/15/11 > Combination of things, including a higher-then expected school tax bill, short term year-end cashflow pinch. <br><br>I intend to pay this off ASAP, once one of my client projects wraps up. <br><br>My business is increasing steadily - recovering nicely from the credit crunch, which affected many of my clientele in 2009 &amp; 2010.<br><br>PS:  I've never been late with a payment. Ever. ;-)<br><br>Thank you ... and happy holidays!<br>"	other	Year End Cleanup	180xx	PA	17.39	0	Sep-98	0			8	0	43936	98.1	22	f	0	0	3915.027595	3915.03	3000	915.03	0	0	0	Jan-15	115.38		Jan-16	0		1	INDIVIDUAL	0
1060578	1292332	4400	4400	4400	 36 months	16.77	156.37	D	D2	citizens bank	10+ years	RENT	55000	Not Verified	Dec-11	n		debt_consolidation	debt	029xx	RI	20.01	0	Jun-04	0			7	0	25237	99	11	f	0	0	5626.892655	5626.89	4400	1226.89	0	0	0	Jan-15	162.44		Dec-15	0		1	INDIVIDUAL	0
1069469	1304526	6000	6000	6000	 36 months	6.03	182.62	A	A1	"Stewart Enterprises, Inc."	10+ years	MORTGAGE	45600	Not Verified	Dec-11	n	  Borrower added on 12/16/11 > Debt Consolidation Loan - Student Loan/Credit Card<br>	debt_consolidation	Debt-Consolidation 	700xx	LA	5.34	0	Nov-95	1			6	0	3378	32.5	28	f	0	0	6065.86	6065.86	6000	65.86	0	0	0	Jul-12	15.01		Jun-12	0		1	INDIVIDUAL	0
1051117	1282787	14000	14000	14000	 36 months	9.91	451.15	B	B1	golfers warehouse	6 years	RENT	80000	Not Verified	Dec-11	n	  Borrower added on 12/15/11 > i am opening a small business and need a small amount to finalize the process<br><br>  Borrower added on 12/17/11 > i have over 8 years of profesional experience in this low cost/high return market.  my employee has over 12 years experience as well.<br>	small_business	Small Business Loan	010xx	MA	10	0	Jul-99	1	45		7	0	2219	13.4	40	f	0	0	16239.91413	16239.91	14000	2239.91	0	0	0	Jan-15	457.91		Jan-16	0		1	INDIVIDUAL	0
1069465	1304521	5000	5000	5000	 36 months	8.9	158.77	A	A5	STERIS Corporation	10+ years	MORTGAGE	100000	Source Verified	Dec-11	n		debt_consolidation	Debt Consolidation for a better life	441xx	OH	16.33	0	Jun-95	0			17	0	74351	62.1	35	f	0	0	5021.37	5021.37	4217.38	696.99	0	107	1.07	Aug-14	158.77		Dec-14	0		1	INDIVIDUAL	1
1069283	1304166	10000	10000	10000	 36 months	10.65	325.74	B	B2	Costco Wholesale Corp.	6 years	RENT	27000	Verified	Dec-11	n		other	Other Loan	104xx	NY	11.47	0	Nov-06	0			7	0	7814	52.3	10	f	0	0	11724.56774	11724.57	10000	1724.57	0	0	0	Jan-15	332.92		Jan-16	0		1	INDIVIDUAL	0
1069287	1304171	10000	10000	10000	 36 months	6.03	304.36	A	A1	Helicoil	10+ years	RENT	60000	Not Verified	Dec-11	n		credit_card	Credit Card Loan	067xx	CT	12.74	0	Sep-92	1			11	0	14019	19.5	18	f	0	0	10282.67	10282.67	10000	282.67	0	0	0	Jul-12	8762.05		Jan-16	0		1	INDIVIDUAL	0
1069453	1303701	11000	11000	11000	 36 months	6.62	337.75	A	A2	cognizant technology solutions	5 years	RENT	70000	Not Verified	Dec-11	n		debt_consolidation	Debt Consolitation 	061xx	CT	10.85	0	Jan-02	0			5	0	11638	36.4	7	f	0	0	12157.38005	12157.38	11000	1157.38	0	0	0	Jan-15	346.13		Jan-16	0		1	INDIVIDUAL	0
1069248	1304123	15000	15000	15000	 36 months	9.91	483.38	B	B1	Caterpillar Inc.	8 years	MORTGAGE	80000	Not Verified	Dec-11	n	  Borrower added on 12/15/11 > Using to pay off existing loans and credit card debt<br><br>  Borrower added on 12/16/11 > All are of a higher interest rate so this interest rate is substantionaly lower giving me peace of mind..<br><br>  Borrower added on 12/18/11 > My job is very stable and I have seniority over more than 80% of the workforce which makes it highly unlikely for me to get laid off..I made it through the 2008 economic downturn without a beat and I still have unlimited overtime oppurtunity<br>	debt_consolidation	Debt Consolidation Loan	616xx	IL	9.12	0	Apr-92	2			9	0	11845	63.7	28	f	0	0	16177.77	16177.77	13556.45	2374.34	24.17	222.81	36.3708	Oct-14	483.38		Mar-15	0		1	INDIVIDUAL	1
